trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
254,False,"{'a': 0.001, 'e': 0.052764469312996165}",25,20,11.013853373846779,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.001, 'e': 0.05152748060002843}",20,8,18.296907396146768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.001, 'e': 0.0503255059796881}",25,11,27.34655596971807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.001, 'e': 0.04915759872704428}",25,4,31.106328619719118,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.001, 'e': 0.04802283512328298}",20,15,9.6684041560375,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.001, 'e': 0.046920314052185774}",25,7,38.63218750069234,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.001, 'e': 0.045849156593550155}",30,13,30.667618926272116,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.001, 'e': 0.04480850561442229}",25,2,40.51275382392926,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.001, 'e': 0.04379752535894876}",20,7,22.80267045971998,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.001, 'e': 0.04281540103759429}",25,20,8.785215205846578,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.001, 'e': 0.04186133841641382}",20,0,19.78578781872967,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.001, 'e': 0.04093456340701784}",20,7,25.756312652011243,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.001, 'e': 0.04003432165781362}",20,3,34.02259140035421,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.001, 'e': 0.03915987814706434}",20,10,20.575830458527896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
